#{"t_start": 1761561634.0887206, "env_id": "None"}
r,l,t
0.6,5,5.119401
0.9,2,5.12247
0.9,2,5.123469
1.0,1,5.12547
1.0,1,5.127471
1.0,1,5.127471
-0.9,20,5.141471
-0.2,13,5.151506
0.9,2,5.153508
-0.6,17,5.166472
-0.3,14,5.175469
0.0,11,5.181501
0.3,8,5.186472
0.7,4,5.188473
0.2,9,5.197472
0.2,9,5.20347
0.0,11,5.213514
1.0,1,5.213514
0.0,11,5.222096
0.4,7,5.225098
0.8,3,5.227099
0.9,2,5.229096
-0.1,12,5.237064
0.6,5,5.239064
0.8,3,5.243066
1.0,1,5.244064
-0.4,15,5.257061
0.9,2,5.257061
0.9,2,5.259061
-0.3,14,5.269098
0.4,7,5.275063
0.3,8,5.280074
-0.2,13,5.289091
0.7,4,5.292091
0.9,2,5.296062
0.8,3,5.297061
0.5,6,5.301062
0.0,11,5.308064
0.4,7,5.313066
0.8,3,5.317076
0.8,3,5.319639
0.0,11,5.327647
0.9,2,5.327647
0.3,8,5.332644
0.6,5,5.336645
0.9,2,5.339643
0.5,6,5.344658
0.4,7,5.350646
0.8,3,5.352645
0.7,4,5.355644
0.5,6,5.359645
-0.5,16,5.369643
-0.8,19,5.382644
0.8,3,5.384643
0.2,9,5.393646
0.6,5,5.395646
-1.2,23,5.413652
0.1,10,5.4212
0.6,5,5.424161
1.0,1,5.425161
-0.2,13,5.432161
-0.7,18,5.445163
-0.2,13,5.453163
1.0,1,5.453163
0.5,6,5.460161
0.4,7,5.465161
1.0,1,5.465161
0.9,2,5.466162
0.9,2,5.469164
0.4,7,5.477165
-0.3,14,5.487163
0.9,2,5.490161
-0.1,12,5.497161
1.0,1,5.497161
0.5,6,5.502163
-0.8,19,5.51517
0.7,4,5.519684
0.9,2,5.522691
0.3,8,5.528688
0.3,8,5.535688
0.4,7,5.538688
0.9,2,5.540689
1.0,1,5.540689
0.7,4,5.543691
0.2,9,5.550717
0.6,5,5.554717
0.3,8,5.559717
0.8,3,5.560718
-0.3,14,5.573687
1.0,1,5.574687
0.1,10,5.581717
0.1,10,5.587718
-0.5,16,5.599689
0.7,4,5.602689
-0.3,14,5.613694
0.6,5,5.616694
0.8,3,5.618694
0.8,3,5.620196
0.7,4,5.622199
0.7,4,5.626199
1.0,1,5.628203
0.5,6,5.632201
0.3,8,5.636201
0.5,6,5.6422
0.8,3,5.645201
0.5,6,5.650201
1.0,1,5.650201
1.0,1,5.651201
-0.1,12,5.658199
-0.6,17,5.672202
0.4,7,5.675201
0.3,8,5.68023
0.8,3,5.68123
0.7,4,5.684228
0.9,2,5.68823
1.0,1,5.68823
0.8,3,5.691229
1.0,1,5.691229
1.0,1,5.691229
0.0,11,5.698229
0.6,5,5.701229
1.0,1,5.702229
0.8,3,5.704203
-0.5,16,5.715244
0.5,6,5.722729
0.9,2,5.72373
0.7,4,5.725754
1.0,1,5.725754
0.4,7,5.730755
0.8,3,5.732754
0.2,9,5.738729
1.0,1,5.738729
0.6,5,5.744724
-0.1,12,5.754726
0.4,7,5.760726
0.1,10,5.769732
0.3,8,5.776724
0.9,2,5.776724
0.7,4,5.78076
0.7,4,5.783726
0.3,8,5.789754
0.6,5,5.793755
0.7,4,5.796754
-0.9,20,5.809799
0.4,7,5.815769
0.1,10,5.822289
0.6,5,5.825289
0.9,2,5.827289
0.9,2,5.828289
0.8,3,5.831287
0.5,6,5.835286
-0.3,14,5.845286
1.0,1,5.846328
0.7,4,5.84832
0.4,7,5.855289
-1.0,21,5.870284
0.1,10,5.878289
0.0,11,5.883287
0.2,9,5.890286
0.4,7,5.894285
0.1,10,5.900313
0.3,8,5.905319
0.9,2,5.906347
-0.7,18,5.917319
0.8,3,5.920833
1.0,1,5.921831
0.5,6,5.923831
1.0,1,5.926831
0.8,3,5.92783
0.8,3,5.930828
0.4,7,5.938858
0.6,5,5.942828
1.0,1,5.942828
0.6,5,5.946828
0.7,4,5.950832
0.1,10,5.956831
0.9,2,5.959831
0.9,2,5.960831
1.0,1,5.960831
0.1,10,5.970828
0.3,8,5.977876
0.3,8,5.983831
0.3,8,5.989839
1.0,1,5.989839
-1.4,25,6.009873
0.9,2,6.012873
-0.3,14,6.021446
1.0,1,6.023445
-0.1,12,6.031444
0.7,4,6.034444
1.0,1,6.034444
0.0,11,6.043472
0.9,2,6.044473
0.4,7,6.050472
1.0,1,6.052444
0.6,5,6.055445
0.6,5,6.059445
0.7,4,6.061445
0.9,2,6.062444
0.8,3,6.065445
0.6,5,6.067445
-0.1,12,6.077443
0.0,11,6.085469
1.0,1,6.085469
1.0,1,6.088444
0.6,5,6.092444
0.2,9,6.097445
0.2,9,6.105521
1.0,1,6.105521
0.5,6,6.112514
0.4,7,6.118515
-0.2,13,6.125081
0.6,5,6.129081
0.8,3,6.132052
1.0,1,6.133062
-0.3,14,6.142052
-0.6,17,6.153053
-0.9,20,6.166053
0.9,2,6.166053
0.9,2,6.168054
-0.2,13,6.177054
0.5,6,6.182051
0.8,3,6.183062
0.9,2,6.185051
0.5,6,6.19105
1.0,1,6.193051
0.6,5,6.196054
0.2,9,6.203081
0.8,3,6.206096
0.2,9,6.212068
1.0,1,6.213066
1.0,1,6.215066
0.8,3,6.216066
-0.3,14,6.225579
0.2,9,6.233576
0.4,7,6.238581
0.5,6,6.241576
0.1,10,6.250578
1.0,1,6.250578
0.8,3,6.253607
0.9,2,6.254617
0.7,4,6.256612
0.6,5,6.262582
0.4,7,6.26558
-1.9,30,6.292576
0.9,2,6.292576
0.4,7,6.298576
0.1,10,6.307582
0.8,3,6.308581
0.7,4,6.310581
0.3,8,6.316581
-0.2,13,6.327132
0.4,7,6.330127
0.8,3,6.333126
-0.3,14,6.345093
0.3,8,6.350092
0.9,2,6.350092
0.4,7,6.357093
0.3,8,6.3641
0.2,9,6.369093
0.4,7,6.37409
0.1,10,6.379091
1.0,1,6.38009
1.0,1,6.381091
0.8,3,6.386095
-0.1,12,6.392093
0.9,2,6.393093
-0.5,16,6.404094
-0.2,13,6.4131
0.8,3,6.4151
0.7,4,6.418139
0.4,7,6.423674
0.9,2,6.423674
0.8,3,6.425668
0.5,6,6.43264
0.8,3,6.434642
0.0,11,6.44464
0.5,6,6.449643
0.2,9,6.45464
0.2,9,6.460643
0.8,3,6.462638
0.7,4,6.465641
1.0,1,6.466638
0.7,4,6.468638
0.7,4,6.472639
1.0,1,6.473638
0.7,4,6.475638
1.0,1,6.477638
0.4,7,6.480638
0.3,8,6.486638
0.8,3,6.491642
1.0,1,6.492658
0.5,6,6.499675
0.9,2,6.500676
0.4,7,6.50864
0.4,7,6.515642
1.0,1,6.515642
0.8,3,6.518641
0.0,11,6.52715
0.6,5,6.53015
0.4,7,6.535151
0.1,10,6.54115
-0.6,17,6.550148
-0.4,15,6.560148
0.5,6,6.56715
0.5,6,6.571149
0.4,7,6.577185
0.5,6,6.582148
1.0,1,6.58415
0.7,4,6.587185
0.6,5,6.590185
0.7,4,6.59315
0.9,2,6.59315
0.4,7,6.598148
0.9,2,6.602148
0.7,4,6.604148
0.5,6,6.607151
0.9,2,6.610156
0.3,8,6.617186
1.0,1,6.618186
0.7,4,6.62139
1.0,1,6.62139
1.0,1,6.622391
0.8,3,6.624358
0.9,2,6.629357
-0.1,12,6.637357
1.0,1,6.637357
0.6,5,6.641358
-0.3,14,6.653354
0.2,9,6.66139
0.7,4,6.66439
-1.6,27,6.684393
0.7,4,6.687391
0.4,7,6.691356
-0.1,12,6.700357
0.6,5,6.705358
0.9,2,6.706367
-0.1,12,6.716363
1.0,1,6.717363
0.5,6,6.721882
0.9,2,6.72288
0.6,5,6.727878
1.0,1,6.727878
0.4,7,6.732878
0.6,5,6.737877
0.9,2,6.737877
1.0,1,6.739877
0.1,10,6.744877
1.0,1,6.744877
-0.7,18,6.758878
0.8,3,6.761881
0.9,2,6.761881
0.7,4,6.76488
0.2,9,6.770877
0.5,6,6.777877
-1.1,22,6.792915
0.4,7,6.798914
0.7,4,6.801917
0.3,8,6.807923
0.8,3,6.810958
1.0,1,6.810958
0.7,4,6.813958
0.3,8,6.818921
1.0,1,6.818921
0.8,3,6.823427
0.3,8,6.828426
-0.1,12,6.838431
0.8,3,6.84043
0.3,8,6.846457
0.5,6,6.849457
0.4,7,6.854432
0.4,7,6.859432
0.6,5,6.862428
0.6,5,6.865426
-0.1,12,6.874426
0.3,8,6.881431
0.5,6,6.887427
1.0,1,6.888426
0.2,9,6.894428
0.4,7,6.89943
0.8,3,6.902429
1.0,1,6.902429
0.5,6,6.906436
0.3,8,6.911433
0.5,6,6.916432
0.3,8,6.921752
1.0,1,6.922754
0.7,4,6.925718
0.3,8,6.93072
1.0,1,6.932719
0.9,2,6.933719
0.7,4,6.936717
0.9,2,6.939716
0.6,5,6.943746
0.8,3,6.948747
0.7,4,6.951746
0.3,8,6.957753
0.6,5,6.960718
0.7,4,7.015725
0.7,4,7.019724
0.5,6,7.02621
0.4,7,7.039206
0.7,4,7.042206
0.4,7,7.046206
0.7,4,7.051215
0.5,6,7.055243
0.3,8,7.061244
0.5,6,7.066242
0.7,4,7.070208
-0.5,16,7.082216
